j,ns2,first32,last32
0,0000000000,13228DB8,D51F792C
1,0000000001,9306460E,0E8093A7
2,0000000010,531423D5,634F66E2
3,0000000011,D330E863,B8D08C69
4,0000000100,3339DA8E,8E3776CB
5,0000000101,B31D1138,55A89C40
6,0000000110,730F74E3,38676905
7,0000000111,F32BBF55,E3F8838E
8,0000001000,030BED95,A3149454
9,0000001001,832F2623,788B7EDF
10,0000001010,433D43F8,15448B9A
11,0000001011,C319884E,CEDB6111
12,0000001100,2310BAA3,F83C9BB3
13,0000001101,A3347115,23A37138
14,0000001110,632614CE,4E6C847D
15,0000001111,E302DF78,95F36EF6
16,0000010000,1B363DAE,EE1A8F90
17,0000010001,9B12F618,3585651B
18,0000010010,5B0093C3,584A905E
19,0000010011,DB245875,83D57AD5
20,0000010100,3B2D6A98,B5328077
21,0000010101,BB09A12E,6EAD6AFC
22,0000010110,7B1BC4F5,03629FB9
23,0000010111,FB3F0F43,D8FD7532
24,0000011000,0B1F5D83,981162E8
25,0000011001,8B3B9635,438E8863
26,0000011010,4B29F3EE,2E417D26
27,0000011011,CB0D3858,F5DE97AD
28,0000011100,2B040AB5,C3396D0F
29,0000011101,AB20C103,18A68784
30,0000011110,6B32A4D8,756972C1
31,0000011111,EB166F6E,AEF6984A
32,0000100000,1728D5B3,C89D8272
33,0000100001,970C1E05,130268F9
34,0000100010,571E7BDE,7ECD9DBC
35,0000100011,D73AB068,A5527737
36,0000100100,37338285,93B58D95
37,0000100101,B7174933,482A671E
38,0000100110,77052CE8,25E5925B
39,0000100111,F721E75E,FE7A78D0
40,0000101000,0701B59E,BE966F0A
41,0000101001,87257E28,65098581
42,0000101010,47371BF3,08C670C4
43,0000101011,C713D045,D3599A4F
44,0000101100,271AE2A8,E5BE60ED
45,0000101101,A73E291E,3E218A66
46,0000101110,672C4CC5,53EE7F23
47,0000101111,E7088773,887195A8
48,0000110000,1F3C65A5,F39874CE
49,0000110001,9F18AE13,28079E45
50,0000110010,5F0ACBC8,45C86B00
51,0000110011,DF2E007E,9E57818B
52,0000110100,3F273293,A8B07B29
53,0000110101,BF03F925,732F91A2
54,0000110110,7F119CFE,1EE064E7
55,0000110111,FF355748,C57F8E6C
56,0000111000,0F150588,859399B6
57,0000111001,8F31CE3E,5E0C733D
58,0000111010,4F23ABE5,33C38678
59,0000111011,CF076053,E85C6CF3
60,0000111100,2F0E52BE,DEBB9651
61,0000111101,AF2A9908,05247CDA
62,0000111110,6F38FCD3,68EB899F
63,0000111111,EF1C3765,B3746314
