j,ns2,first32,last32
0,000000,A301543B,DA55EDB8
1,000001,20F432D6,082494FE
2,000010,E2FBE74D,B36D511B
3,000011,610E81A0,611C285D
4,000100,83FC0D80,6EC9B3E9
5,000101,00096B6D,BCB8CAAF
6,000110,C206BEF6,07F10F4A
7,000111,41F3D81B,D580760C
8,001000,B37FF8E6,001BC290
9,001001,308A9E0B,D26ABBD6
10,001010,F2854B90,69237E33
11,001011,71702D7D,BB520775
12,001100,9382A15D,B4879CC1
13,001101,1077C7B0,66F6E587
14,001110,D278122B,DDBF2062
15,001111,518D74C6,0FCE5924
16,010000,AB3E0255,3772FA2C
17,010001,28CB64B8,E503836A
18,010010,EAC4B123,5E4A468F
19,010011,6931D7CE,8C3B3FC9
20,010100,8BC35BEE,83EEA47D
21,010101,08363D03,519FDD3B
22,010110,CA39E898,EAD618DE
23,010111,49CC8E75,38A76198
24,011000,BB40AE88,ED3CD504
25,011001,38B5C865,3F4DAC42
26,011010,FABA1DFE,840469A7
27,011011,794F7B13,567510E1
28,011100,9BBDF733,59A08B55
29,011101,184891DE,8BD1F213
30,011110,DA474445,309837F6
31,011111,59B222A8,E2E94EB0
32,100000,A4EB99E1,7EB71F34
33,100001,271EFF0C,ACC66672
34,100010,E5112A97,178FA397
35,100011,66E44C7A,C5FEDAD1
36,100100,8416C05A,CA2B4165
37,100101,07E3A6B7,185A3823
38,100110,C5EC732C,A313FDC6
39,100111,461915C1,71628480
40,101000,B495353C,A4F9301C
41,101001,376053D1,7688495A
42,101010,F56F864A,CDC18CBF
43,101011,769AE0A7,1FB0F5F9
44,101100,94686C87,10656E4D
45,101101,179D0A6A,C214170B
46,101110,D592DFF1,795DD2EE
47,101111,5667B91C,AB2CABA8
48,110000,ACD4CF8F,939008A0
49,110001,2F21A962,41E171E6
50,110010,ED2E7CF9,FAA8B403
51,110011,6EDB1A14,28D9CD45
52,110100,8C299634,270C56F1
53,110101,0FDCF0D9,F57D2FB7
54,110110,CDD32542,4E34EA52
55,110111,4E2643AF,9C459314
56,111000,BCAA6352,49DE2788
57,111001,3F5F05BF,9BAF5ECE
58,111010,FD50D024,20E69B2B
59,111011,7EA5B6C9,F297E26D
60,111100,9C573AE9,FD4279D9
61,111101,1FA25C04,2F33009F
62,111110,DDAD899F,947AC57A
63,111111,5E58EF72,460BBC3C
